Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Roads and bridges,Infrastructure,Southwold,Second Line Bridge Replacement,Planning,2021,"The project will replace the Second Line Bridge with a concrete culvert to improve safety and access for multiple users, including emergency vehicles.",,Elgin,Southwest,35663 Fingal Line,N0L1K0,,"$587,329 ",Yes,Yes,Yes,,,42.790121,-81.3902,
Child care,Education,Springwater,Our Lady of Lourdes Catholic Elementary School,Planning,23-Jan,Expansion of existing school,Addition to accommodate 39 child care spaces,Simcoe,Central,34 KERR ST,L0L 1P0,,"$1,058,759 ",,Yes,,,,44.58631,-79.86312,
Recreation,"Tourism, Culture and Sport",Springwater,Springwater Tp,Under construction,23-Feb,"Our Municipality, with a $200,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by creating an accessible and inclusive playground and walking path at Homer Barrett Park for all community members to use. ",,Simcoe,Central,43 Centennial Ave.,L0L 1P0,,"$200,000 ",,Yes,,,,44.589827,-79.868394,
Communities,Transportation,Springwater,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Simcoe,Central,68 Yonge St S,,,0,,,,,,44.5783,-79.86205,
Communities,Transportation,Springwater,Electric Vehicle Charging Station at Simcoe County Museum,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Simcoe,Central,1151 Highway 26,,,0,,,,,,44.4444,-79.7485,
Recreation,Infrastructure,St. Catharines,Bogart Park Multi-Use Court and Playground,Planning,22-Dec,"This project includes renovations to the tennis courts and playground at Bogart Street Park. Work includes turning the existing courts into multi-use courts for basketball, tennis, and pickleball. The play structure will also be relocated and will include improved accessibility, the base will also be changed to rubber.",,Niagara,Central,50 Church Street/Rue,L2R7C2,,"$437,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000660/canada-and-ontario-invest-over-44-million-in-four-recreation-infrastructure-projects-in-the-niagara-region,43.22067,-79.22044,
Transit,Transportation,St. Catharines,Conventional Buses,Planning,2022,Replace eleven 12-metres busses. ,Improved service reliability.,Niagara,Central,,,,"$8,820,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Conventional Bus Fleet Expansion,Planning,2022,Purchase of ten 12-metre buses,Increased service capacity.,Niagara,Central,,,,"$8,925,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Replacement of Paratransit Vehicles,Planning,2022,Replace four Paratransit buses and one Paravan,Reduced maintenance costs and increased system performance.,Niagara,Central,,,,"$1,228,500 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Hybrid Buses Rehabilitation,Planning,2022,Replace the battery and other components on four hybrid buses to extend their service life. ,Improved reliability of the city's low-emission hybrid bus fleet.,Niagara,Central,,,,"$690,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Improvements to Bus Stops and Shelters,Planning,23-Aug,"Renovation of 100 bus stop shelters including new scheduling information signage, and seating.. ",Improved system efficiencies and passenger experience.,Niagara,Central,,,,"$2,100,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Technology Upgrade,Planning,2022,"Install a new radio system and video surveillance system on 89 vehicles and at other locations such as terminal hubs, transportation offices, and supervisor, maintenance, and shuttle vehicles. ",Improved system efficiencies and passenger experience.,Niagara,Central,,,,"$2,572,500 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Replacement of Vehicle Hoists,Planning,22-Dec,Purchase permanent and portable hoists for a bus maintenance facility.,"Improved bus maintenance and better, more reliable service.",Niagara,Central,,,,"$2,005,500 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Downtown Terminal Renovations,Planning,2022,Renovate the downtown public transit terminal.,"Improved facilities for transit  workforce, as well as better capacity and quality service for passengers.",Niagara,Central,,,,"$575,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Facility Expansion,Planning,24-Jan,Expand the existing maintenance and bus storage facility to accommodate the growing transit system.,Additional room for future regional transit headquarters as a fully-integrated transit operations for Niagara.,Niagara,Central,,,,"$9,832,500 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,New Fare Payment Technology,Planning,23-Mar,Introduce a new contactless farebox technology system on the 89-vehicle bus fleet. ,Better integration with the regional fare system enabling riders to use one method of payment to access all of the transit systems across the Niagara Region.,Niagara,Central,,,,"$3,990,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,St. Catharines,Replacement of Service Vehicles,Planning,2022,Replace 11  old service vehicles .,Improved on-road maintenance and more efficient transit services.,Niagara,Central,,,,"$477,750 ",Yes,Yes,Yes,,,,,
Recreation,Infrastructure,St. Charles,Improved recreation facilities for a community centre in St.-Charles,Planning,2022,"Upgrades to the Community Arena will increase occupancy rates and allow the facility to safely host major community events. Once improvements are complete, the renovated facility will feature an updated fire alarm system and widened doors, a new ice resurfacer, new fitness equipment, and a new splash pad.",These renovations will improve safety and accessibility of the facility and enable St.-Charles residents and visitors alike to enjoy the facility for years to come.,Sudbury,Northeast,2 King Street/Rue East/Est,P0M2W0,,"$404,729 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61006/canada-and-ontario-invest-in-improved-recreation-facilities-for-a-community-centre-in-st-charles,46.361814,-80.407253,
Education,Education,St. Clair,Sacred Heart Catholic Elementary School,Planning,23-Sep,Expansion of existing school,"New classroom addition of 46 pupil places to accommodate students and improve school condition, including 49 child care spaces",Lambton,Southwest,434 JOHN ST,N0P 2B0,,"$3,105,351 ",,Yes,,,,42.65784833,-82.50046476,
Roads and bridges,Infrastructure,St. Clair,Rehabilitation of the Holt Line Bridge over the Sydenham River,Planning,2020,"The rehabilitation of the Holt Line Bridge over the Sydenham River will extend the usefulness of the asset, maintain a necessary travel route for residents and preserve the historic nature of the structure.",,Lambton,Southwest,1155 Emily Street/Rue,N0N1M0,,"$1,200,000 ",Yes,Yes,Yes,,,42.69159,-82.402615,
Communities,"Tourism, Culture and Sport",St. Clair,St. Clair Tp,Under construction,23-Jan,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by building a new compressor room, installing floor heating and a new wall, and replacing system piping throughout the rink floor. ",,Lambton,Southwest,1166 Emily Street,N0N 1M0,,"$500,000 ",,Yes,,,,42.841953,-82.463229,
Recreation,Infrastructure,St. Joseph,The Centennial Grounds Sports and Culture Revitalization,Planning,22-Dec,"Construction of a new screened room for cultural events, washroom and shower facilities, as well as shade structures to support multiday cultural and sporting events. The construction will involve the resurfacing of the parking lot; new top soil and grass for ground fields and other landscaping; electrical, and lighting upgrades to improve outdoor sport facilities.",,Algoma,Northeast,1669 Arthur Street/Rue,P0R1J0,,"$285,962 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,46.295593,-84.037501,
Broadband,"Agriculture, Food and Rural Affairs",St. Marys,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,Perth,Southwest,,,,0,,,,,,,,
Broadband,"Agriculture, Food and Rural Affairs",St. Thomas,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,Elgin,Southwest,,,,0,,,,,,,,
Education,Education,St. Thomas,St. Anne's Catholic Elementary School,Under construction,2021,Renovation of existing school,Renovation to accommodate for Full Day Kindergarten,Elgin,Southwest,84 PARK AVE,N5R 4W1,,"$284,074 ",,,,Yes,,42.76771,-81.17034,
Education,Education,St. Thomas,St. Anne's Catholic Elementary School,Planning,24-Sep,Expansion of existing school,New classroom addition of 210 pupil places for a growing school,Elgin,Southwest,84 PARK AVE,N5R 4W1,,"$4,879,887 ",,Yes,,,,42.76800965,-81.1707016,
Communities,Infrastructure,St. Thomas,Evaluation and Expansion of Wastewater Storage Facilities,Planning,2022,Upgrades to the wastewater collection system will increase underground wastewater storage. The installation of in-line sewage flow meters and the rehabilitation of the sewage plant will better control wet flow and output during wet weather events.,,Elgin,Southwest,545 Talbot Street,N5P3V7,,"$2,782,050 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,42.779094,-81.193055,
Recreation,Infrastructure,St. Thomas,Curtis Street Square,Planning,2022,"Creation of a public plaza and meeting area, with enhanced parking area, green space and a pedestrian connection between the St. Thomas Public Library, a new child care centre and the historic L&PS Rail Corridor Tourism Centre and trail system. Additionally an outside courtyard will be developed at the library to enhance the overall experience.",,Elgin,Southwest,545 Talbot Street,N5P3V7,,"$2,100,000 ",Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.77895,-81.192587,
Recreation,Infrastructure,St. Thomas,Family YMCA of St. Thomas-Elgin Recreation Facility Rehabilitation,Planning,27-Jan,"Rehabilitation of the facility will involve the replacement of the roof over the gymnasium, and the replacement of the balance of roof and the PoolPak pool dehumidification unit, the construction of an additional storage facility, and retrofitting the doors to improve building accessibility.",,Elgin,Southwest,165 Elmwood Ave E,N6C0A8,,"$1,094,900 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.769223,-81.173794,
Transit,Transportation,St. Thomas,Transit System Improvements,Under construction,25-Dec,"Purchase 14 new, zero-emission buses along with new charging stations and introduce solar power generation retrofits, new fare technology and traffic signal prioritization.",Improved customer experience of the public transit system.,Elgin,Southwest,,,,"$5,536,820 ",Yes,Yes,Yes,Yes,,42.77865,-81.190334,
Recreation,Infrastructure,Stone Mills,Stone Mills Recreation Centre Arena Floor Replacement,Planning,2021,Upgrades to the Stone Mills Recreation Centre include replacing the existing arena floor with a new concrete slab and in-floor refrigeration piping. The project also includes the construction of new rink boards and alterations to the Ice Resurfacer entrance.,,Lennox and Addington,East,4504 County Road,K0K1N0,,"$1,000,000 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-1,44.488,-76.995,
Broadband,Infrastructure,"Stormont, Dundas and Glengarry",Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others","Stormont, Dundas and Glengarry",East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,45.311237,-74.636858,
Roads and bridges,Transportation,"Stormont, Dundas and Glengarry","Carman Rd. to Upper Canada Rd., United Counties of Stormont, Dundas and Glengarry",Under construction,23-Mar,"Resurfacing, Culvert rehabilitation, Culvert replacement",,"Stormont, Dundas and Glengarry",East,,,,0,,Yes,,,,44.917106,-75.197659,
Broadband,"Agriculture, Food and Rural Affairs",Stratford,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,Perth,Southwest,,,,0,,,,,,,,
Roads and bridges,Transportation,Stratford,Reconstruction of Huron Street ,Under construction,23-Mar,,,Perth,Southwest,,,8,"$3,000,000 ",,Yes,,,,43.375953,-80.992298,
Transit,Transportation,Stratford,Bus Replacement,Planning,2022,Purchase two 40-foot conventional diesel powered buses to replace aging vehicles in Stratford’s transit fleet.,"Improved reliability and accessibility, and reduced maintenance and fuel costs.",Perth,Southwest,,,,"$1,140,002 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Stratford,Mobility Bus Replacement,Planning,2022,"Purchase one 24-foot, gasoline-powered, 10-passenger mobility bus to replace an aging vehicle in Stratford’s specialized transit fleet.","Improved reliability and accessibility, and reduced maintenance and fuel costs.",Perth,Southwest,,,,"$100,001 ",Yes,Yes,Yes,,,,,
Communities,"Tourism, Culture and Sport",Strong,Strong Tp,Under construction,23-Feb,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing the rink floor and dasher boards to improve the safety of the arena and ensure the ice is level. ",,Parry Sound,Northeast,14 Albert St.,P0A 1Z0,,"$500,000 ",,Yes,,,,45.76694,-79.40137,
Health care,Health,Sudbury,Health Sciences North - Bed Capacity Project,Under construction,24-Mar,The project will allow for conversion of the existing space at Ramsey Lake Health Centre  into new conventional patient bed spaces complete with support services. ,The project will create over 50 new patient bed spaces.,Sudbury,Northeast,"41 Ramsey Lake Road, ",P3E 5J1,,"$9,623,500 ",,Yes,,Yes,,46.46809364,-80.99667725,
Roads and bridges,Transportation,Sudbury,"Hwy 535 from North of Hwy 64 northerly, north of Noelville",Under construction,2022,"Resurfacing/Fully paved shoulders of Hwy 535 from Noelville northerly 6.1km, culvert rehabilitation of Murdock River Culvert ","Culvert rehabilitation, Resurfacing",Sudbury,Northeast,,,Highway 535,0,,Yes,,,,46.15155027,-80.43177959,
Education,Education,Tay,St. Antoine Daniel Catholic Elementary School,Planning,23-Jan,Expansion of existing school,"Expansion to accommodate school population as a result of a consolidation, including 39 child care spaces",Simcoe,Central,460 PARK ST,L0K 2A0,,"$1,198,757 ",,Yes,,,,44.7464,-79.7613,
Communities,"Tourism, Culture and Sport",Tay,Tay Tp,Under construction,23-May,"Our Municipality, with a $316,500 Community Building Fund – Capital stream grant over 12 months, will address a community need by increasing the number of changerooms from two to four in the Tay Community Rink, increasing user capacity and maximizing use of space. ",,Simcoe,Central,560 Calvert Street,L0K 1R0,,"$316,500 ",,Yes,,,,44.740761,-79.814804,
Child care,Education,Tecumseh,École élémentaire catholique Sainte-Marguerite-d'Youville,Planning,2022,Expansion of existing school,Addition to accommodate 49 child care spaces,Essex,Southwest,13025 ST. THOMAS ST,N8N 3P3,,"$1,588,138 ",,Yes,,,,42.32098,-82.87418,
Education,Education,Tecumseh,North Shore Public Elementary School,Under construction,23-Sep,Construction of new school,"New replacement facility to accommodate 651 students, including the construction of 73 child care spaces",Essex,Southwest,AMY CROFT / COMMERCIAL,,,"$22,453,165 ",,Yes,,Yes,,42.307008,-82.861027,
Transit,Transportation,Tecumseh,Multi-purpose Pathway,Planning,24-Dec,Construct a 3-kilometre multi-purpose pathway that will link Tecumseh Hamlet to the Tecumseh Transit Service. ,Improved access to the public transit system.,Essex,Southwest,,,,"$1,046,931 ",Yes,Yes,Yes,,,42.3067,-82.885,
Roads and bridges,Infrastructure,Temiskaming Shores,Replacement of the Roy Bridge,Planning,2022,"The replacement of the Roy Bridge located on the Boundary Road between the Township of Harley, and the City of Temiskaming Shores. ",The new bridge will improve safety and reduce service interruptions.,Timiskaming,Northeast,903303 Hanbury Road,P0J1P0,,"$5,833,125 ",Yes,Yes,Yes,,,47.580789,-79.721003,
Recreation,"Tourism, Culture and Sport",Temiskaming Shores,Temiskaming Shores C,Under construction,23-May,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing the roof on the Pool and Fitness Centre to ensure continued access to the only public fitness facility in the community. ",,Timiskaming,Northeast,77 Wellington St. S,P0J 1P0,,"$500,000 ",,Yes,,,,47.506675,-79.673126,
Communities,Transportation,Temiskaming Shores,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Timiskaming,Northeast,883307 ON-65,,,0,,,,,,47.52604,-79.67348,
Communities,Transportation,Temiskaming Shores,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Timiskaming,Northeast,883350 Hwy 65 W,,,0,,,,,,47.52796,-79.67497,
Transit,Transportation,Temiskaming Shores,Transit Upgrades and Fleet Replacement,Planning,27-Oct,"Replace 5 conventional buses over 10 years, 6 bus shelters and install the Presto payment system.",,Timiskaming,Northeast,N/A,,,"$1,040,454 ",Yes,Yes,Yes,,,47.445344,-79.629556,
Communities,Infrastructure,Terrace Bay,Kenogami Road Reconstruction,Planning,2022,"Replace water mains, sanitary sewers and storm sewers along Kenogami Road.",Better environmental protection in the community.,Thunder Bay,Northwest,1 Selkirk Avenue,P0T2W0,,"$1,686,223 ",Yes,Yes,Yes,,,48.78087,-87.0982,
Roads and bridges,Infrastructure,Terrace Bay,Reconstruction of Mill Road,Planning,2021,"The reconstruction of Mill Road, which includes asphalt resurfacing, widened lanes, widened asphalt shoulders and improved drainage, will enhance the safety of motorists, cyclists and pedestrians.",,Thunder Bay,Northwest,1 Selkirk Avenue,P0T2W0,,"$1,400,795 ",Yes,Yes,Yes,,,48.79368,-87.09502,
Child care,Education,Thames Centre,River Heights Public Elementary School,Under construction,23-Sep,Expansion of existing school,Addition to accommodate 88 child care spaces and 1 EarlyON room,Middlesex,Southwest,4269 HAMILTON RD,N0L 1G3,,"$6,619,167 ",,Yes,,Yes,,42.98603,-81.05141,
Communities,Infrastructure,Thames Centre,Water Storage Mixer,Planning,23-Sep,Install water storage reservoir mixers  in 3 water storage reservoirs in Dorchester.,Greater disinfection control of the water.,Middlesex,Southwest,2620 Dorchester Road,N0L 1G5,,"$49,800 ",Yes,Yes,Yes,,,42.973241,-81.04843,
Recreation,Infrastructure,The Blue Mountains,Capital Improvements to the Marsh Street Centre,Planning,2022,"The project will replace and repair exterior bricks, install new signage, replace the stage ceiling and improve lighting. The practice rooms will also be upgraded with new soundproofing, drywall, carpet and a ventilation system while an accessible washroom will be renovated. The changes will improve the safety, accessibility and functionality of the facility.   ",,Grey,Southwest,187 Marsh St,N0H1J0,,"$135,300 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.5472,-80.477,
Recreation,Infrastructure,The Blue Mountains,Renovations at the Beaver Valley Community Centre,Planning,23-Jan,"The project will replace the parking lot and roof, update lighting, windows, and doors to increase energy efficiency, and upgrade the HVAC system. The changes will improve the functioning and energy efficiency of the community centre.",,Grey,Southwest,32 Mill Street/Rue,N0H2P0,,"$1,718,750 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.333734,-80.273646,
Child care,Education,The Nation,École élémentaire catholique Saint-Viateur,Under construction,2022,Expansion of existing school,Addition to accommodate 39 child care spaces,Prescott and Russell,East,205 LIMOGES RD,K0A 2M0,,"$1,092,548 ",,Yes,,Yes,,45.35018,-75.2632,
Education,Education,The Nation,école élémentaire catholique Saint-Viateur,Planning,23-Sep,Expansion of existing school,New classroom addition of 115 pupil places for a growing school,Prescott and Russell,East,205 LIMOGES RD,K0A 2M0,,"$2,804,053 ",,Yes,,,,45.35018,-75.2632,
Roads and bridges,Infrastructure,The Nation,Rehabilitation of Touchette Bridge,Planning,22-Dec,"The rehabilitation of the Touchette Bridge, including the replacement of its deck, steel stringers and floor beams, will improve the safety of motorists and extend the bridge's lifespan.",,Prescott and Russell,East,958 Road 500 West,K0A1M0,,"$2,089,916 ",Yes,Yes,Yes,,,45.293275,-75.121392,
Communities,Transportation,The Nation,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Prescott and Russell,East,21 Richer Close,,,0,,,,,,45.30426,-75.08321,
Communities,"Agriculture, Food and Rural Affairs",The North Shore,Serpent River Landfill Site,Under construction,2020,Expansion of the Serpent River landfill site. ,Diverting recyclable waste,Algoma,Northeast,5931 Hwy 17,P0P 1V0,,"$584,250 ",Yes,Yes,Yes,,,46.217499,-82.517139,
Roads and bridges,Infrastructure,Thessalon First Nation,Reconstruction of Lakeside Drive,Planning,2021,"The project will improve road safety and reliability, facilitate active transportation, improve traffic flow, reduce maintenance costs and extend the life of the roadway.",,Algoma,Northeast,187 Main Street/Rue,P0R1L0,,"$2,624,906 ",Yes,Yes,Yes,,,46.261432,-83.56713,
Broadband,"Agriculture, Food and Rural Affairs",Thorold,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,Niagara,Central,,,,0,,,,,,,,
Education,Education,Thorold,Monsignor Clancy Catholic Elementary School,Under construction,2022,Expansion of existing school,"New classroom addition of 104 pupil places to accommodate students as a result of consolidation, including 49 child care spaces",Niagara,Central,41 COLLIER RD S,L2V 3S9,,"$5,131,382 ",,Yes,,,,43.12173,-79.21593,
Recreation,Infrastructure,Thorold,Battle of Beaverdams Park,Planning,2021,"Construction of a new entranceway to the park with new lighting, asphalt walking trails, an accessible playground, and washroom amenities. A central plaza will be created to house historical artifacts currently in the park. Other project elements include upgrading the band shell by adding amphitheatre-style seating, and drainage and landscaping improvements.",These improvements will increase accessibility for all visitors while enhancing the historic and cultural experience of the park.,Niagara,Central,3540 Schmon Parkway,L2V4A7,,"$668,415 ",Yes,Yes,Yes,,,43.07235,-79.12063,
Education,Education,Thunder Bay,école élémentaire publique Thunder Bay,Planning,26-Sep,Renovation of existing school,Renovation to accommodate 257 underserved French-language students,Thunder Bay,Northwest,TBD,P7C 1H2,,"$1,100,000 ",,Yes,,,,,,
Health care,Health,Thunder Bay,Thunder Bay Regional Health Sciences Centre - Cardiovascular Surgery Program,Planning,25-Mar,"The Project involves new construction and renovation of space at Thunder Bay Regional Health Sciences Centre and includes a cardiovascular surgical inpatient unit, an additional operating room, a vascular lab and outpatient clinic.",Improved access to cardiovascular surgery and related services for residents of Thunder Bay and Northwestern Ontario.,Thunder Bay,Northwest,980 Oliver Rd,P7B 6V4,,0,,Yes,,Yes,,48.428793,-89.269491,
Broadband,Infrastructure,Thunder Bay,Lakehead Rural Municipal Coalition (LRMC) Broadband Project,Planning,24-May,New broadband construction by Northwestern Ontario Innovation Centre,Providing reliable internet access,Thunder Bay,Northwest,,,,"$41,051,180 ",,Yes,Yes,,,48.3287016,-89.5964965,
Recreation,Infrastructure,Thunder Bay,Waterfront Phase II - Prince Arthur's Landing Festival Area Improvements,Planning,26-Mar,"Renovations to Thunder Bay’s outdoor festival area to reorient the stage and viewing area, upgrade the electrical and backstage infrastructure for event and concert hosting, and help improve the health and safety of employees, performers and improve the spectator experience.",,Thunder Bay,Northwest,500 Donald Street East,P7C5K4,,"$4,999,998 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000516/canada-and-ontario-invest-over-66-million-in-six-recreation-infrastructure-projects-in-the-provinces-northwest-region,48.435809,-89.21468,
Recreation,Infrastructure,Thunder Bay,Rehabilitation and renovation of the Centre Francophone in Thunder Bay,Planning,2022,"The renovation and expansion of the Centre Francophone, including the construction of a second floor, rehabilitation of the garage, replacement of the roof, renovation of the community hall to expand capacity, and addressing accessibility requirements throughout the building. This includes updates to the bathroom, elevator, ramps, and doors.",,Thunder Bay,Northwest,234 VAN NORMAN ST,P7A4B8,,"$702,257 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000516/canada-and-ontario-invest-over-66-million-in-six-recreation-infrastructure-projects-in-the-provinces-northwest-region,48.436545,-89.220276,
Broadband,Mines,Thunder Bay,Broadband Infrastructure Development ,Under construction,23-Mar,Providing internet access to remote Matawa-member First Nations communities,"Improved internet connectivity for community members and improved acceess to education, training and business opportunities.",Thunder Bay,Northwest,"233 S. Court Street, 2nd Floor",P7B 2X9,,"$69,200,000 ",,Yes,Yes,,,48.427861,-89.230088,
Communities,Transportation,Thunder Bay,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Thunder Bay,Northwest,770 Memorial Ave,,,0,,,,,,48.41299,-89.24483,
Transit,Transportation,Thunder Bay,Conventional and Specialized Vehicle Replacement,Planning,23-Dec,Purchase 4 diesel transit buses and 12 diesel paratransit  buses to replace existing buses that have reached the end of their asset life.,Reduced service disruptions and maintenance costs while providing users with a smoother and more reliable transit experience.,Thunder Bay,Northwest,,,,"$4,914,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Thunder Bay,Specialized Fleet Expansion,Planning,2021,Purchase 2 specialized service buses.,Improved capacity and access to specialized transit services in the City of Thunder Bay.,Thunder Bay,Northwest,,,,"$399,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Thunder Bay,Transit Hub Improvements,Planning,27-Mar,"Upgrades to four transit hubs, including widening of sidewalks, automatic door installation, real-time passenger information screens and heated shelters, along with the construction of a new transit hub.",Improved passenger accessibility and overall quality of the public transit system.,Thunder Bay,Northwest,,,,"$8,190,000 ",Yes,Yes,Yes,,,48.380895,-89.247682,
Transit,Transportation,Thunder Bay,Vehicle Refurbishment,Planning,22-Dec,"Replace several interior components on several buses, including engines, transmissions, and seating. ","Improved capacity, quality and safety of existing and future transit systems.",Thunder Bay,Northwest,,,,"$1,086,750 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,Transit Facility Improvements,Planning,23-Dec,"Rehabilitating the public transit garage will include replacements of overheard doors, a section of the roof and other components. The replacements will decrease operating costs, provide a safer work environment and extend the life of the garage.",Rehabilitating the transit garage including the replacement of overhead doors and the replacement of a section of the roof. This will reduce operating costs and ensures the extension of useful life of the asset. ,Thunder Bay,Northwest,,,,"$702,240 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,Safety Equipment,Planning,23-Jul,"Install new safety equipment on public transit buses, including driver safety shields and mobility securement devices for wheelchairs and strollers.",Improved safety and prevent passenger injuries.,Thunder Bay,Northwest,,,,"$1,062,600 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,New Pedestrian Crossovers,Planning,26-Nov,Construct 23 new pedestrian crossovers in various high traffic areas. ,Improved service quality and safety for transit users.,Thunder Bay,Northwest,,,,"$2,186,250 ",Yes,Yes,Yes,,,48.3809,-89.2477,
Transit,Transportation,Thunder Bay,Mobility System Hardware,Planning,23-Dec,Replace CCTV and intelligent transportation system equipment in 48 conventional and 25 specialized buses.,Improved service quality and safety for transit users.,Thunder Bay,Northwest,,,,"$483,000 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,Electronic Fare Management System,Planning,23-Dec,Install a new automated electronic fare management system on 48 conventional and 25 adapted buses.,More convenient payment options for passengers through the introduction of reloadable and pre-paid smart cards.,Thunder Bay,Northwest,,,,"$2,625,000 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,On-demand Trip Management Software,Planning,2022,"Introduce new on-demand/shared ride electronic software features that includes booking, payment and notifications through a web portal and mobile app.",Improved accessibility and convenience for transit users. ,Thunder Bay,Northwest,,,,"$315,000 ",Yes,Yes,Yes,,,48.416701,-89.236474,
Transit,Transportation,Thunder Bay,Pedestrian Crossovers,Planning,23-Nov,Construct 23 pedestrian crossovers in high traffic areas throughout Thunder Bay. ,"Improved accessibility, safety and overall quality of the public transit system.",Thunder Bay,Northwest,,,,"$1,380,500 ",Yes,Yes,Yes,,,48.3809,-89.2477,
Transit,Transportation,Thunder Bay,Transit Bus Stop Improvements,Planning,27-Mar,Install 40 new bus shelters and 378 new mobility hard surface pads.,Improved passenger experience by rehabilitating sidewalk connections and waiting areas at bus stops.,Thunder Bay,Northwest,,,,"$1,934,100 ",Yes,Yes,Yes,,,48.380895,-89.247682,
Transit,Transportation,Thunder Bay,Transit Fleet Maintenance Equipment,Planning,23-Dec,Replace and update old transit fleet maintenance vehicles and equipment.,Safer working conditions for employees and improved safety and support for transit users.,Thunder Bay,Northwest,,,,"$278,250 ",Yes,Yes,Yes,,,48.416701,-89.236474,
