Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Recreation,"Tourism, Culture and Sport",TILLSONBURG,Tillsonburg T,Under construction,23-Apr,"Our Municipality, with a $148,500 Community Building Fund – Capital stream grant over 12 months, will address a community need by installing automatic doors with new frames and hardware, and renovating the electrical work to improve accessibility at our Community Centre. ",,OXFORD,Southwest,45 Hardy Avenue,N4G 3W9,,"$148,500 ",,Yes,,,,42.871629,-80.735552,
Communities,Transportation,TILLSONBURG,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,OXFORD,Southwest,401 Simcoe St,,,0,,,,,,42.85364,-80.6938,
Communities,Transportation,TILLSONBURG,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,OXFORD,Southwest,560 Broadway St,,,0,,,,,,42.87726,-80.74447,
Roads and bridges,Transportation,TILLSONBURG,Road reconstuction,Planning,2021,Reconstruct Oxford Street and Simcoe Street from Broadway Street to Vienna Road.,,OXFORD,Southwest,,,Highway 19,"$1,578,461 ",,Yes,,,,42.860074,-80.721539,
Roads and bridges,Transportation,TILLSONBURG,Rehabilitation of Vienna Road ,Under construction,23-Mar,,,OXFORD,Southwest,,,19,"$1,729,760 ",,Yes,,,,42.854685,-80.719872,
Roads and bridges,Transportation,TIMISKAMING DISTRICT,Hwy 66 from Kirkland Lake easterly to west of Hwy 624,Under construction,2022,"Resurfacing and fully paved shoulder on Hwy 66 from Hwy 672 to Hwy 624, Bridge rehabilitation of Misema River Bridge ","Bridge rehabilitation, Resurfacing, Paved shoulders",TIMISKAMING,Northeast,,,Highway 66,0,,Yes,,,,48.105769,-79.74298961,
Roads and bridges,Transportation,TIMISKAMING DISTRICT,East junction Hwy 560 Elk Lake to east of Hwy 562,Under construction,2022,Resurfacing,,TIMISKAMING,Northeast,,,,0,,Yes,,,,47.63866614,-79.99653913,
Roads and bridges,Transportation,TIMISKAMING DISTRICT,"Montreal River Bridges, west and east of Matachewan",Under construction,2022,"Bridge rehabilitation, Bridge replacement",,TIMISKAMING,Northeast,,,,0,,Yes,,,,48.00513,-80.74191,
Child care,Education,TIMMINS,St. Joseph Catholic Elementary School,Under construction,24-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,COCHRANE,Northeast,207 HUOT ST,P0N 1H0,,"$4,276,200 ",,Yes,,,,48.4839,-81.2059,
Recreation,Infrastructure,TIMMINS,McIntyre Headframe Restoration,Planning,2020,"Restoration will include the selection of bidding contractors, detailed engineering designs and drawings, the replacement of the corroded structural steel and wood frame, and the repair of loose cladding and wall anchor backets on the exterior of the headframe.",,COCHRANE,Northeast,220 Algonquin Boulevard/Boulevard East/Est,P4N1B3,,"$1,642,394 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.482387,-81.29641,
Recreation,Infrastructure,TIMMINS,YMCA of Timmins Renovation: Strengthening Impact in and for our community,Planning,2022,"Renovations to the Timmins Family YMCA include exterior renovations to solve the crumbling façade and lack of insulation, and will also include improvements to the building’s overall accessibility. Insulation and new cladding will be added to the outside of the building. Two exterior cement stairways will also be fixed.",,COCHRANE,Northeast,376 Avenue Avenue,P4N4S4,,"$562,500 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.4788,-81.3467,
Recreation,Infrastructure,TIMMINS,Ski Resort Terrain Development for Increased Accessibility,Planning,2021,"Expansion of the snow making system infrastructure to enhance capacity and efficiency while utilizing new modern technologies, and constructing a downhill mountain bike trail system and operation to create additional off-season sustainability and continue to grow activities.",,COCHRANE,Northeast,5050 Kamiskotia Road,P4N7G7,,"$325,500 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.534406,-81.541088,
Communities,Northern Development,TIMMINS,Centre Culturel La-Ronde,Under construction,23-Jan,Construction of new building,"Construction of a new building supporting the arts and culture sectors of the community, as well as the economy of Timmins and surrounding area.",COCHRANE,Northeast,32 Mountjoy Street North,P4N 4V6,,"$6,500,000 ",,Yes,Yes,Yes,https://www.northernontario.ctvnews.ca/video?clipId=2479270,48.476107,-81.3352867,
Communities,Transportation,TIMMINS,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,COCHRANE,Northeast,520-522 Algonquin Blvd E,,,0,,,,,,48.47733,-81.31968,
Transit,Transportation,TIMMINS,Accessible Paratransit Mobility Buses,Planning,2021,The purchase of one specialized transit vehicle to replace existing vehicles in the City of Timmins paratransit serivce that have reached the end of their useful life. ,"This project will improve the capacity, quality and safety of the specialized transit services in the City of Timmins.",COCHRANE,Northeast,,,,"$160,000 ",Yes,Yes,Yes,,,48.458878,-81.328874,
Transit,Transportation,TIMMINS,Transit Terminal Renovations,Planning,2022,"Add fully accessible washrooms, modernize the building and ensure the amenities are barrier free for all transit users.",Improved accessibility of the transit terminal.,COCHRANE,Northeast,,,,"$1,375,000 ",Yes,Yes,Yes,,,48.474841,-81.326832,
Transit,Transportation,TIMMINS,Bus Washing System,Planning,2021,Construct a bus washing facility.,Reduced energy consumption and  expanded washing capabilities.,COCHRANE,Northeast,,,,"$240,000 ",Yes,Yes,Yes,,,48.458878,-81.328874,
Child care,Education,TINY,École élémentaire catholique Sainte-Croix,Under construction,2021,Renovation of existing school,Renovation to accommodate 39 child care spaces,SIMCOE,Central,1-351 RUE LAFONTAINE RD W,L9M 0H1,,"$529,379 ",,Yes,,,,44.75734161,-80.05360254,
Recreation,Infrastructure,TINY,Toanche Recreation Pavilion,Planning,24-Sep,"The project will replace the skating rink at Toanche Park with a covered skating pavilion with open sides and natural ice, and construct a support building with restrooms, changerooms, storage and a community meeting room. The upgrades will provide local and area residents with better access to the facility.",,SIMCOE,Central,130 Balm Beach Road West/Ouest,L0L2J0,,"$792,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.8161,-79.9503,
Communities,Attorney General,TORONTO,New courthouse in Toronto,Under construction,22-Dec,New provincial courthouse,Improved justice services to Torontonians in state-of-the-art facility,TORONTO,Central,10 Armoury St,,,"$956,400,000 ",,Yes,,,http://www.infrastructureontario.ca/New-Toronto-Courthouse/,43.653618,-79.3862,
Communities,Attorney General,TORONTO,Toronto Region Bail Centre,Under construction,2022,"Renovation of existing courthouse at 2201 Finch Ave. W.  This project is being  delivered  with the Brampton Courthouse Addition Phase 2 as a P3 bundle, and the project budget of $82.3M includes both projects.",Accommodation of the bail program associated with the new Toronto courthouse. ,TORONTO,Central,2201 Finch Ave. W.,M9M 2Y9,,"$82,500,000 ",,Yes,,,,43.752606,-79.536505,
Child care,Education,TORONTO,Bala Avenue Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,6 BALA AVE,M6M 2E1,,"$1,542,761 ",,Yes,,,,43.6894,-79.49938,
Child care,Education,TORONTO,Chalkfarm Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,100 CHALKFARM DR,M3L 1L4,,"$1,542,761 ",,Yes,,,,43.7272629,-79.5145725,
Child care,Education,TORONTO,Gracedale Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,186 GRACEDALE BLVD,M9L 2C1,,"$3,466,800 ",,Yes,,Yes,,43.7532767,-79.5622093,
Child care,Education,TORONTO,Macklin Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,136 INGLETON BLVD,M1V 2Y4,,"$2,981,075 ",,Yes,,Yes,,43.8220934,-79.2675445,
Child care,Education,TORONTO,Miliken Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,130 PORT ROYAL TRAIL,M1V 2T4,,"$2,587,049 ",,Yes,,Yes,,43.81658,-79.28848,
Child care,Education,TORONTO,Pelmo Park Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,180 GARY DR,M9N 2M1,,"$1,542,761 ",,Yes,,,,43.7123639,-79.5176069,
Child care,Education,TORONTO,Holy Family Catholic Elementary School,Planning,23-Jan,Renovation of existing school,Renovation to accommodate 49 child care spaces,TORONTO,Central,141 CLOSE AVE,M6K 2V6,,"$794,068 ",,Yes,,,,43.63845,-79.43498,
Child care,Education,TORONTO,Nativity of Our Lord Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,35 SAFFRON CRES,M9C 3T8,,"$2,571,267 ",,Yes,,,,43.65348,-79.5758,
Child care,Education,TORONTO,St. Albert Catholic Elementary School,Planning,25-Sep,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,1125 MIDLAND AVE,M1K 4H2,,"$2,571,267 ",,Yes,,,,43.74377,-79.26131,
Child care,Education,TORONTO,St. John Vianney Catholic Elementary School,Planning,23-Sep,Renovation of existing school,Renovation to accommodate 49 child care spaces,TORONTO,Central,105 THISTLE DOWN BLVD,M9V 1J5,,"$771,381 ",,Yes,,,,43.73836,-79.55391,
Child care,Education,TORONTO,St. Thomas Aquinas Catholic Elementary School,Planning,23-Dec,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,636 GLENHOLME AVE,M6E 3G9,,"$2,571,267 ",,Yes,,,,43.69591,-79.44507,
Child care,Education,TORONTO,Birch Cliff Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,1650 KINGSTON RD,M1N 1S2,,"$3,583,904 ",,Yes,,Yes,,43.69198,-79.26556,
Child care,Education,TORONTO,Dixon Grove Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,315 THE WESTWAY,M9R 1H1,,"$4,518,639 ",,Yes,,Yes,,43.6849,-79.55613,
Child care,Education,TORONTO,Elmbank Public Elementary School,Planning,24-Jan,Renovation of existing school,Renovation to accommodate 88 child care spaces,TORONTO,Central,10 PITTSBORO DR,M9V 3R4,,"$1,285,635 ",,Yes,,,,43.7359614,-79.5900105,
Child care,Education,TORONTO,Kingsview Village Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,1 YORK RD,M9R 3C8,,"$5,065,910 ",,Yes,,Yes,,43.6978014,-79.5505757,
Child care,Education,TORONTO,Valleyfield Junior Public Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,35 SASKATOON DR,M9P 2E8,,"$2,571,270 ",,Yes,,,,43.6938145,-79.5381092,
Child care,Education,TORONTO,Weston Memorial Junior Public Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,200 JOHN ST,M9N 1K2,,"$1,542,762 ",,Yes,,,,43.7061469,-79.5090791,
Child care,Education,TORONTO,Alexander Stirling Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,70 FAWCETT TRAIL,M1B 3A9,,"$5,267,063 ",,Yes,,Yes,,43.81165,-79.20759,
Child care,Education,TORONTO,Dorset Park Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,28 BLAISDALE RD,M1P 1V6,,"$2,936,947 ",,Yes,,Yes,,43.7501823,-79.278738,
Child care,Education,TORONTO,Ellesmere-Statton Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,739 ELLESMERE RD,M1P 2W1,,"$3,952,825 ",,Yes,,Yes,,43.7632244,-79.2872459,
Child care,Education,TORONTO,Glen Ravine Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,11 GADSBY DR,M1K 4V4,,"$3,535,911 ",,Yes,,Yes,,43.7379607,-79.254351,
Child care,Education,TORONTO,Grey Owl Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,150 WICKSON TRAIL,M1B 1M4,,"$4,456,270 ",,Yes,,Yes,,43.80398,-79.21329,
Child care,Education,TORONTO,Emily Carr Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,90 JOHN TABOR TRAIL,M1B 2V2,,"$5,298,528 ",,Yes,,Yes,,43.80501,-79.20692,
Child care,Education,TORONTO,General Crerar Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,30 MCGREGOR RD,M1P 1C8,,"$2,571,270 ",,Yes,,,,43.7458333,-79.2799718,
Child care,Education,TORONTO,Willow Park Junior Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,45 WINDOVER DR,M1G 1P1,,"$2,314,143 ",,Yes,,,,43.7611216,-79.2092731,
Child care,Education,TORONTO,Ionview Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,90 IONVIEW RD,M1K 2Z9,,"$3,798,309 ",,Yes,,Yes,,43.7377846,-79.2747617,
Child care,Education,TORONTO,J G Workman Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,487 BIRCHMOUNT RD,M1K 1N7,,"$3,667,953 ",,Yes,,Yes,,43.7075099,-79.2665415,
Child care,Education,TORONTO,Lord Roberts Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,165 LORD ROBERTS DR,M1K 3W5,,"$3,062,246 ",,Yes,,Yes,,43.7416752,-79.2638243,
Child care,Education,TORONTO,Malvern Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,70 MAMMOTH HALL TRAIL,M1B 1P6,,"$4,324,790 ",,Yes,,Yes,,43.79783,-79.23324,
Child care,Education,TORONTO,Military Trail Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,701 MILITARY TRAIL,M1E 4P6,,"$2,571,270 ",,Yes,,,,43.78911,-79.1971,
Child care,Education,TORONTO,Daystrom Public Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,25 DAYSTROM DR,M9M 2A8,,"$2,571,270 ",,Yes,,,,43.7478207,-79.5471978,
Child care,Education,TORONTO,Blessed Pope Paul VI Catholic Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,TORONTO,Central,270 LAUGHTON AVE,M6N 2X8,,"$529,380 ",,Yes,,,,43.67432,-79.45752,
Child care,Education,TORONTO,St. Barbara Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,25 JANRAY DR,M1G 1Y2,,"$1,542,762 ",,Yes,,,,43.76244,-79.21884,
Child care,Education,TORONTO,St. Bernard Catholic Elementary School,Planning,25-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,12 DUCKWORTH ST,M6M 4W4,,"$1,542,762 ",,Yes,,,,43.7027,-79.49999,
Child care,Education,TORONTO,St. Edmund Campion Catholic Elementary School,Planning,25-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,30 HIGHCASTLE RD,M1E 4N1,,"$1,542,762 ",,Yes,,,,43.78806,-79.21556,
Child care,Education,TORONTO,St. Gerald Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,200 OLD SHEPPARD AVE,M2J 3L9,,"$1,542,762 ",,Yes,,,,43.78044,-79.32627,
Child care,Education,TORONTO,St. Jean de Brébeuf Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,101 DEAN PARK RD,M1B 2X2,,"$1,542,762 ",,Yes,,,,43.80232,-79.1739,
Child care,Education,TORONTO,St. Jude Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 10 child care spaces,TORONTO,Central,3251 WESTON RD,M9M 2T9,,"$514,254 ",,Yes,,,,43.74035,-79.53944,
Child care,Education,TORONTO,St. Kevin Catholic Elementary School,Planning,25-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,15 MURRAY GLEN DR,M1R 3J6,,"$1,542,762 ",,Yes,,,,43.75109,-79.30642,
Child care,Education,TORONTO,Pope Francis Catholic Elementary School,Planning,23-Jan,Renovation of existing school,Renovation to accommodate 49 child care spaces,TORONTO,Central,319 OSSINGTON AVE,M6J 3A6,,"$794,069 ",,Yes,,,,43.65156,-79.42102,
Child care,Education,TORONTO,St. Nicholas of Bari Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,363 ROGERS RD,M6E 1R6,,"$1,542,762 ",,Yes,,,,43.68328,-79.46065,
Child care,Education,TORONTO,Santa Maria Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 39 child care spaces,TORONTO,Central,25 AVON AVE,M6N 4X8,,"$1,028,508 ",,Yes,,,,43.68132,-79.4778,
Child care,Education,TORONTO,Father Serra Catholic Elementary School,Planning,25-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,111 SUN ROW DR,M9P 3J3,,"$1,542,762 ",,Yes,,,,43.68565,-79.53753,
Child care,Education,TORONTO,St. Dominic Savio Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,50 TIDESWELL BLVD,M1B 5X3,,"$1,542,762 ",,Yes,,,,43.79831,-79.15545,
Child care,Education,TORONTO,St. Andre Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,36 YVONNE AVE,M3L 1C9,,"$1,542,762 ",,Yes,,,,43.72357,-79.51752,
Child care,Education,TORONTO,École élémentaire publique Félix-Leclerc,Under construction,23-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,50 CELESTINE DR,M9R 3N3,,"$2,475,022 ",,Yes,,Yes,,43.6899,-79.56154,
Child care,Education,TORONTO,École élémentaire publique Mathieu-da-Costa,Under construction,2022,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,116 CORNELIUS PKY,M6L 2K5,,"$3,008,102 ",,Yes,,Yes,,43.71809,-79.47546,
Child care,Education,TORONTO,École élémentaire publique Pierre-Elliott-Trudeau,Planning,23-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces and 1 EarlyON room,TORONTO,Central,65 GRACE ST,M6J 2S4,,"$2,117,518 ",,Yes,,Yes,,43.65212,-79.41429,
Child care,Education,TORONTO,École élémentaire catholique Saint-Michel,Under construction,2022,Expansion of existing school,Addition to accommodate 34 child care spaces,TORONTO,Central,29 MEADOWVALE RD,M1C 1R7,,"$1,170,340 ",,Yes,,Yes,,43.77787722,-79.15604342,
Child care,Education,TORONTO,Elmlea Junior Public Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,TORONTO,Central,50 HADRIAN DR,M9W 1V4,,"$2,727,603 ",,Yes,,,,43.7161703,-79.5501898,
Child care,Education,TORONTO,St. Marguerite Bourgeoys Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,75 ALEXMUIR BLVD,M1V 1H6,,"$545,521 ",,Yes,,,,43.80808,-79.28554,
Child care,Education,TORONTO,St. Florence Catholic Elementary School,Planning,23-Sep,Renovation of existing school,Renovation to accommodate 49 child care spaces,TORONTO,Central,101 MURISON BLVD,M1B 2L6,,"$818,281 ",,Yes,,,,43.79868,-79.2073,
Child care,Education,TORONTO,St. Malachy Catholic Secondary School,Planning,24-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,TORONTO,Central,80 BENNETT RD,M1E 3Y3,,"$1,636,562 ",,Yes,,,,43.77131,-79.16582,
Child care,Education,TORONTO,école élémentaire catholique du Sacré-Cœur,Planning,2022,Renovation of existing school,Renovation to accommodate 24 child care spaces,TORONTO,Central,98 ESSEX ST,M6G 1T3,,"$280,783 ",,Yes,,,,43.6674144,-79.4247821,
Child care,Education,TORONTO,école élémentaire catholique Sainte-Madeleine,Planning,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,TORONTO,Central,1 NESS DR,M3A 2W1,,"$545,521 ",,Yes,,,,43.7626,-79.32274,
Education,Education,TORONTO,Blessed Cardinal Newman Catholic Secondary School,Planning,24-Sep,Construction of new school,New facility to accommodate 1110 students in a growing community,TORONTO,Central,100 BRIMLEY RD S,M1M 3X4,,"$30,576,050 ",,Yes,,,,43.71291003,-79.2426899,
Education,Education,TORONTO,Bloor Public Secondary School,Under construction,24-Mar,Construction of new school,New facility to accommodate 922 students as a result of a consolidation,TORONTO,Central,1141 BLOOR ST W,M6H 1M9,,"$52,240,129 ",,Yes,,Yes,,43.659015,-79.43529,
Education,Education,TORONTO,Terry Fox Public Elementary School,Under construction,23-Sep,Expansion of existing school,"New classroom addition of 276 pupil places for a growing school, including 88 child care spaces",TORONTO,Central,185 WINTERMUTE BLVD,M1W 3M9,,"$12,396,337 ",,Yes,,Yes,,43.8158403,-79.3190106,
Education,Education,TORONTO,Hodgson Public Middle School,Planning,24-Sep,Expansion of existing school,New classroom addition of 391 pupil places for a growing school,TORONTO,Central,282 DAVISVILLE AVE,M4S 1H2,,"$18,286,235 ",,Yes,,,,43.70115,-79.38492,
Education,Education,TORONTO,Courcelette Public Elementary School,Planning,24-Sep,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,TORONTO,Central,100 FALLINGBROOK RD,M1N 2T6,,"$3,221,934 ",,Yes,,,,43.6790881,-79.2785357,
Education,Education,TORONTO,St. Fidelis Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 648 students in a growing community, including the construction of 25 child care spaces",TORONTO,Central,155 FALSTAFF AVE,M6L 2E5,,"$14,230,920 ",,Yes,,,,43.71768,-79.495826,
Education,Education,TORONTO,St. Leo Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 500 students as a result of a consolidation, including the construction of 49 child care spaces and of 1 EarlyON room",TORONTO,Central,165 STANLEY AVE,M8V 1P1,,"$12,362,098 ",,Yes,,,,43.61416373,-79.49630707,
Education,Education,TORONTO,St. Raymond Catholic Elementary School,Under construction,23-Jan,Construction of new school,"New facility to accommodate 350 students as a result of a consolidation, including the construction of 49 child care spaces",TORONTO,Central,270 BARTON AVE,M6G 1R4,,"$18,582,667 ",,Yes,,Yes,,43.66592,-79.42317,
Education,Education,TORONTO,St. Antoine Daniel Catholic Elementary School,Planning,24-Jan,Construction of new school,"New facility to accommodate 510 students in a growing community, including the construction of 88 child care spaces",TORONTO,Central,160 FINCH AVE W,M2N 2J2,,"$13,220,104 ",,Yes,,,,43.77755199,-79.4297765,
Education,Education,TORONTO,Regina Mundi Catholic Elementary School,Under construction,23-Jan,Renovation of existing school,"Renovation to improve school condition, including 88 child care spaces",TORONTO,Central,70 PLAYFAIR AVE,M6B 2P9,,"$8,784,730 ",,Yes,,,,43.71006,-79.4593,
Education,Education,TORONTO,Dante Alighieri Catholic Secondary School,Planning,24-Sep,Construction of new school,New facility to accommodate 650 students in a growing community,TORONTO,Central,60 PLAYFAIR AVE,M6B 2P9,,"$36,013,876 ",,Yes,,,,43.71017,-79.45802,
Education,Education,TORONTO,St. Margaret Catholic Elementary School,Planning,24-Sep,Expansion of existing school,"New classroom addition of 67 pupil places for a growing school, including 49 child care spaces",TORONTO,Central,85 CARMICHAEL AVE,M5M 2X1,,"$4,936,098 ",,Yes,,Yes,,43.73611,-79.42667,
Education,Education,TORONTO,Dennis Avenue Public Elementary School,Planning,24-Apr,Construction of new school,"New facility to accommodate 358 students as a result of a consolidation, including the construction of 88 child care spaces ",TORONTO,Central,17 DENNIS AVE,M6N 2T7,,"$10,828,738 ",,Yes,,,,43.68426,-79.48743,
Education,Education,TORONTO,Kapapamahchakwew - Wandering Spirit Public Elementary and Secondary School,Planning,24-Sep,Expansion of existing school,"New classroom addition of 304 pupil places to accommodate students as a result of consolidation, including 64 child care spaces and 1 EarlyON room",TORONTO,Central,16 PHIN AVE,M4J 3T2,,"$11,513,307 ",,Yes,,,,43.67907523,-79.33703884,
Education,Education,TORONTO,George Syme Public Elementary School,Planning,24-Jan,Expansion of existing school,"New classroom addition of 184 pupil places to accommodate students as a result of consolidation, including 88 child care spaces ",TORONTO,Central,69 PRITCHARD AVE,M6N 1T6,,"$4,471,339 ",,Yes,,,,43.6688208,-79.4909364,
Education,Education,TORONTO,Hollywood Public Elementary School,Planning,24-Apr,Expansion of existing school,"New classroom addition of 184 pupil places for a growing school, including 64 child care spaces",TORONTO,Central,360 HOLLYWOOD AVE,M2N 3L4,,"$6,275,870 ",,Yes,,,,43.7707619,-79.3925187,
Education,Education,TORONTO,Sir Sandford Fleming Public Elementary School,Under construction,2022,Renovation of existing school,"Renovation to address accommodation needs as a result of a consolidation, including 88 child care spaces",TORONTO,Central,50 AMEER AVE,M6A 2L3,,"$7,468,658 ",,Yes,,Yes,,43.72830312,-79.44277385,
Education,Education,TORONTO,Kipling Public Secondary School,Under construction,24-Jan,Renovation of existing school,"Renovation to address accommodation needs as a result of a consolidation, including 88 child care spaces",TORONTO,Central,380 THE WESTWAY,M9R 1H4,,"$3,470,432 ",,Yes,,Yes,,43.68528,-79.56234,
Education,Education,TORONTO,St. Michael's Choir Catholic Elementary School,Planning,25-Sep,Construction of new school,New replacement facility to accommodate 300 students,TORONTO,Central,TBD,TBD,,"$11,155,222 ",,Yes,,,,,,
Education,Education,TORONTO,Holy Angels Catholic Elementary School,Under construction,23-Jan,Construction of new school,"New facility to accommodate 600 students in a growing community, including the construction of 88 child care spaces ",TORONTO,Central,65 JUTLAND RD,M8Z 2G6,,"$20,360,797 ",,Yes,,,,43.6282483,-79.51771366,
Education,Education,TORONTO,St. Matthias Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 525 students as a result of a consolidation, including the construction of 88 child care spaces ",TORONTO,Central,101 VAN HORNE AVE,M2J 2S8,,"$13,785,310 ",,Yes,,,,43.78448073,-79.35948012,
Education,Education,TORONTO,Baycrest Catholic Elementary School,Under construction,25-Sep,Construction of new school,"New facility to accommodate 504 students in a growing community, including the construction of 49 child care spaces ",TORONTO,Central,145 BAYCREST AVE,M6A 1W4,,"$12,339,687 ",,Yes,,Yes,,43.726739,-79.44428,
Education,Education,TORONTO,École secondaire publique Toronto Est,Under construction,23-Sep,Renovation of existing school,New facility to accommodate 501 students in a growing community,TORONTO,Central,24 MOUNTJOY AVE,M4J 1J6,,"$26,777,908 ",,Yes,,Yes,,43.68082989,-79.33047497,
Education,Education,TORONTO,McKee Public Elementary School,Planning,24-Sep,Expansion of existing school,New classroom addition of 69 pupil places for a growing school,TORONTO,Central,35 CHURCH AVE,M2N 6X6,,"$1,483,544 ",,Yes,,,,43.77426711,-79.4105157,
